Notes;Elementpathstring;Correct Tree?;Correct Tree On Specific Value?;Ignore On These Signatures (Seperated By '/');Only Use On These Signatures(Seperated By '/');New Record;Record Signature;Part of Single Record;Old Value And Old Index need to match?;New Path or New Order;Old Value;New Value;Old Index;New Index;Replace Any Value?;Don t Replace Any Index?;Is Flag?
Identifier;slSingleValues;;;;;slNewRec;slNewRecSig;slSingleRec;slOldNewValMatch;slNewPathorOrder;slOldVal;slNewVal;slOldIndex;slNewIndex;slReplaceAnyVal;slReplaceAnyIndex;slIsFlag
Column Notes;Main identifier single value;Single Value;Single Value;Single Value;Single Value;Multiple Values;Multiple values;Multiple Values;Multiple Values;Multiple Values;Multiple Values;Multiple Values;Multiple Values;Multiple Values;Multiple Values;Multiple Values;Multiple Values
;Record Header\Record Flags\Form initialized (Runtime only);;;;;;;;;;;;;;;;
;Record Header\Record Flags\Deleted;;;;;;;;;Record Header\Record Flags\Deleted;;;;6;;;TRUE
;Record Header\Record Flags\Border Region / Has Tree LOD / Constant / Hidden From Local Map / Plugin Endian;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Turn Off Fire;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Inaccessible;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Casts shadows / On Local Map / Motion Blur;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Quest item / Persistent reference;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Initially disabled;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Ignored;;;;;;;;;Record Header\Record Flags\Ignored;;;;13;;;TRUE
;Record Header\Record Flags\No Voice Filter;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Cannot Save (Runtime only);;;;;;;;;;;;;;;;
;Record Header\Record Flags\Visible when distant;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Random Anim Start / High Priority LOD;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Dangerous / Off limits (Interior cell) / Radio Station (Talking Activator);;;;;;;;;;;;;;;;
;Record Header\Record Flags\Compressed;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Can't wait / Platform Specific Texture / Dead;;;;;;;;;;;;;;;;
;Record Header\Record Flags\Unknown 21;;;;;;;;;;;;;;;;
